tx_hash,log_index,block_number,timestamp,timestamp_iso,chain_id,contract_address,token,token_label,amount_raw,n_feasible,anonymity_score,entropy_bits,entropy_norm,subset_sum_explanations,max_weight,weight_top1,weight_top2,weight_top3,is_selected_example,amount_sigma_used,amount_sigma_fraction,time_decay_hours_used,entropy_weight_used,multiplicity_weight_used
a360fe9b937a760b080e9b5bebee153bb2d84b6138f8c87c351365eb18ab5bdf,3,25005963,1674387610,2023-01-22T11:40:10+00:00,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC (0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d),19950000000000000000,2,6.976048999263462e-29,9.965784284662088e-29,9.965784284662088e-29,0,1.0,1.0,1e-30,0.0,False,9.975e+17,0.05,96.0,0.7,0.3
91bdf6de1bd43263fd2c5ac02fa7067a0c1b1a0186d7e801d2f46b21d79d19ae,20,25006018,1674387776,2023-01-22T11:42:56+00:00,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC (0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d),1877978734540311984069,2,6.976048999263462e-29,9.965784284662088e-29,9.965784284662088e-29,0,1.0,1.0,1e-30,0.0,False,9.38989367270156e+19,0.05,96.0,0.7,0.3
a8f460498a6e71a692ae7119a99af8219b1981c28e9647634abd2e29d43ee430,3,25006125,1674388131,2023-01-22T11:48:51+00:00,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB (0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c),47236765521487500,1,0.0,-0.0,0.0,0,1.0,1.0,0.0,0.0,False,2361838276074375.5,0.05,96.0,0.7,0.3
d7cb6858746a03fb9dc0ba0f8b8a667b0413207203c52e5a092f6b01cdcb9b8b,28,25015468,1674416492,2023-01-22T19:41:32+00:00,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,54725343750000,1,0.0,-0.0,0.0,0,1.0,1.0,0.0,0.0,False,2736267187500.0,0.05,96.0,0.7,0.3
379a4ddffc945eadb9f6e589e58ab4a81d9c5c7f9bfd61a702f40782012ff645,20,25040464,1674492455,2023-01-23T16:47:35+00:00,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB (0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c),149625000000000000,1,0.0,-0.0,0.0,0,1.0,1.0,0.0,0.0,False,7481250000000000.0,0.05,96.0,0.7,0.3
14da2043f6c42d73e7bca705cc2acc010768c9578f22eed1310f2e5149ee4850,39,25041771,1674496446,2023-01-23T17:54:06+00:00,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB (0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c),79800000000000000,2,6.976048999263462e-29,9.965784284662088e-29,9.965784284662088e-29,0,1.0,1.0,1e-30,0.0,False,3990000000000000.0,0.05,96.0,0.7,0.3
0ce2ddb677fada67816f8eba8f28cb1a86394641c58dab11363abbf86a18fa11,5,25047474,1674513780,2023-01-23T22:43:00+00:00,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB (0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c),64358791408406250,3,0.0007780322107143352,0.0017616455404791459,0.0011114745867347646,0,0.9998780349152095,0.9998780349152095,0.00012196508479040902,1e-30,False,3217939570420312.5,0.05,96.0,0.7,0.3
8a2a919fbbb061fcae22451b00ddafff314cbc2a0e68aa365e8ef14f1d34f9fb,3,25051752,1674526798,2023-01-24T02:19:58+00:00,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB (0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c),19108942136607093750,4,1.0464073498895192e-28,2.9897352853986264e-28,1.4948676426993132e-28,0,1.0,1.0,1e-30,1e-30,False,9.554471068303547e+17,0.05,96.0,0.7,0.3
c93a81b8c8ea0bc49afe66af0a2cff22d7a7f06214310c390b09fa7ed2559688,3,25055211,1674537228,2023-01-24T05:13:48+00:00,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB (0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c),26547028572957694,4,1.0464073498895192e-28,2.9897352853986264e-28,1.4948676426993132e-28,0,1.0,1.0,1e-30,1e-30,False,1327351428647884.8,0.05,96.0,0.7,0.3
b7665277d55a5903f947b84784b83d24a212ef27b90e2117b0acc3e1c28edc2c,17,25092228,1674649860,2023-01-25T12:31:00+00:00,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD (0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56),2992500000000000000000,1,0.0,-0.0,0.0,0,1.0,1.0,0.0,0.0,False,1.49625e+20,0.05,96.0,0.7,0.3
